pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,pl_radj,pl_orbper
Kepler-142,0.0,0.0,0.0,0.242,0,557.51,3,0.193,41.809118
Kepler-143,0.0,0.0,0.0,0.127,0,828.71,2,0.215,16.007583
Kepler-143,0.0,0.0,0.0,0.181,0,828.71,2,0.301,27.082511
Kepler-144,0.0,0.0,0.0,0.066,0,389.22,2,0.119,5.885273
Kepler-144,0.0,0.0,0.0,0.094,0,389.22,2,0.12,10.104665
Kepler-145,0.0,1.28,0.117,0.0,0,576.15,2,0.236,22.951
Kepler-145,0.0,1.28,0.25,0.0,0,576.15,2,0.385,42.882
Kepler-146,0.0,0.0,0.0,0.2,0,731.81,2,0.331,31.158799
Kepler-146,0.0,0.0,0.0,0.364,0,731.81,2,0.279,76.732171
Kepler-147,0.0,0.0,0.0,0.113,0,1073.89,2,0.136,12.610584
Kepler-147,0.0,0.0,0.0,0.216,0,1073.89,2,0.217,33.416423
Kepler-148,0.0,0.0,0.0,0.028,0,809.42,3,0.161,1.729366
Kepler-148,0.0,0.0,0.0,0.05,0,809.42,3,0.321,4.180043
HD 37605,0.03,0.94,3.19,3.74,K0,46.85,2,0.0,2720.0
HD 38283,0.41,1.37,0.4,1.02,G0/1 V,38.1,1,0.0,363.20001
HD 38529,0.28,1.41,0.797,0.1294,G4 IV,42.41,2,0.0,14.30944
HD 38529,0.3407,1.41,12.99,3.64,G4 IV,42.41,2,0.0,2136.1
HD 38801,0.017,1.21,9.698,1.623,K0,91.68,1,0.0,685.25
HD 39091,0.637,1.09,10.02,3.1,G0 V,18.28,2,0.0,2093.07
HD 40307,0.2,0.77,0.0126,0.0468,K3 V,12.94,5,0.0,4.3123
HD 40307,0.06,0.77,0.0208,0.0799,K3 V,12.94,5,0.0,9.6184
HD 40307,0.07,0.77,0.0299,0.1321,K3 V,12.94,5,0.0,20.432
HD 40307,0.02,0.77,0.0164,0.247,K3 V,12.94,5,0.0,51.76
HD 40307,0.29,0.77,0.0223,0.6,K3 V,12.94,5,0.0,197.8
HD 40979,0.25,1.45,4.67,0.85,F8 V,34.12,1,0.0,264.14999
HD 41004 A,0.74,0.7,2.54,0.0,K1/K2 V,43.03,1,0.0,963.0
HD 41004 B,0.081,0.4,18.37,0.0,M2 V,43.03,1,0.0,1.3283
HD 43197,0.83,0.96,0.6,0.92,G8 V,56.3,1,0.0,327.8
HD 43691,0.0796,1.32,2.55,0.238,G0,85.81,1,0.0,36.9987
HD 44219,0.61,1.0,0.58,1.19,G2 V,50.4,1,0.0,472.3
HD 45364,0.1684,0.82,0.1872,0.6813,K0 V,34.39,2,0.0,226.93
HD 197037,0.22,1.11,0.79,2.07,F7 V,33.0,1,0.0,1035.7
HD 200964,0.087,1.39,1.599,1.565,G8 IV,72.74,2,0.0,606.3
HD 200964,0.243,1.39,1.214,1.96,G8 IV,72.74,2,0.0,852.5
HD 202206,0.22,1.27,17.9,2.41,G6 V,46.03,1,0.0,1260.0
HD 203030,0.0,0.0,24.09,487.1,G8 V,39.29,1,0.0,0.0
HD 204313,0.23,1.03,3.46,3.07,G5 V,47.86,2,0.0,1920.09998
HD 204941,0.37,0.58,0.23,2.55,K1/2 V,28.74,1,0.0,1733.0
HD 205739,0.27,1.22,1.37,0.896,F7 V,92.74,1,0.0,279.8
HD 206610,0.1,1.55,2.036,1.74,K0 III,147.78,1,0.0,673.2
HD 207832,0.197,1.05,0.56,0.586,G5 V,59.03,2,0.0,160.07
HD 207832,0.27,1.05,0.73,2.112,G5 V,59.03,2,0.0,1155.7
HD 208527,0.08,1.6,9.9,2.1,M1 III,314.48,1,0.0,875.5
HD 208487,0.24,1.13,0.52,0.524,G2 V,44.0,1,0.0,130.08
HD 209458,0.0,1.23,0.73,0.0,F8,48.37,1,1.39,3.52474859
HD 210277,0.48,1.01,1.29,1.13,G8/K0 V,21.31,1,0.0,442.19
HD 210702,0.028,1.61,1.808,1.148,K1 III,54.28,1,0.0,354.1
HD 212771,0.076,1.56,2.39,1.19,G8 IV,111.51,1,0.0,380.7
iot Dra,0.7124,1.05,8.82,1.275,K2 III,31.67,1,0.0,511.098
Kepler-114,0.0,0.0,0.009,0.0,M0 V,261.49,3,0.143,8.041
Kepler-114,0.0,0.0,0.012,0.0,M0 V,261.49,3,0.226,11.776
4 UMa,0.432,1.23,7.1,0.87,K1 III,73.58,1,0.0,269.3
6 Lyn,0.073,1.44,2.01,2.11,K0 III-IV,54.74,1,0.0,934.3
7 CMa,0.06,1.34,1.85,1.758,K1 III,19.82,2,0.0,735.1
11 Com,0.231,2.7,19.4,1.29,K0 III,93.37,1,0.0,326.03
11 UMi,0.08,2.78,14.74,1.53,K4 III,125.72,1,0.0,516.21997
14 And,0.0,2.2,4.8,0.83,G8 III,75.59,1,0.0,185.84
14 Her,0.37,0.9,4.66,2.93,K0 V,17.94,1,0.0,1773.40002
16 Cyg B,0.68,1.08,1.78,1.66,G2.5 V,21.15,1,0.0,798.5
18 Del,0.08,2.3,10.3,2.6,G6 III,76.38,1,0.0,993.3
24 Sex,0.09,1.54,1.99,1.333,K0 IV,72.21,2,0.0,452.8
24 Sex,0.29,1.54,0.86,2.08,K0 IV,72.21,2,0.0,883.0
30 Ari B,0.29,1.93,13.82,0.99,F6 V,44.71,1,0.0,335.10001
42 Dra,0.38,0.98,3.88,1.19,K1.5 III,90.86,1,0.0,479.1
47 UMa,0.032,1.03,2.53,2.1,G0 V,13.8,3,0.0,1078.0
47 UMa,0.098,1.03,0.54,3.6,G0 V,13.8,3,0.0,2391.0
47 UMa,0.16,1.03,1.64,11.6,G0 V,13.8,3,0.0,14002.0
Kepler-149,0.0,0.0,0.0,0.184,0,580.57,3,0.376,29.198943
Kepler-149,0.0,0.0,0.0,0.281,0,580.57,3,0.144,55.328328
Kepler-149,0.0,0.0,0.0,0.571,0,580.57,3,0.353,160.018032
Kepler-150,0.0,0.0,0.0,0.044,0,914.4,5,0.112,3.428054
Kepler-150,0.0,0.0,0.0,0.073,0,914.4,5,0.329,7.381998
Kepler-150,0.0,0.0,0.0,0.104,0,914.4,5,0.249,12.56093
Kepler-150,0.0,0.0,0.0,0.189,0,914.4,5,0.278,30.826557
Kepler-151,0.0,0.0,0.0,0.116,0,662.19,2,0.273,15.228958
Kepler-151,0.0,0.0,0.0,0.16,0,662.19,2,0.186,24.674612
Kepler-152,0.0,0.0,0.0,0.124,0,446.77,2,0.249,18.207973
Kepler-152,0.0,0.0,0.0,0.356,0,446.77,2,0.213,88.255055
Kepler-153,0.0,0.0,0.0,0.129,0,465.53,2,0.261,18.870227
