pl_hostname,pl_orbeccen,st_mass,pl_bmassj,pl_orbsmax,st_spstr,st_dist,pl_pnum,st_rad,pl_radj,pl_orbper,st_vsini,pl_tranflag,pl_rvflag,ra,dec,pl_cbflag
HD 190360,0.31,0.99,1.54,3.97,G6 IV,16.01,2,1.14,0.0,2915.03687,2.2,0,1,300.905853,29.896805,0
HD 190360,0.237,0.99,0.06,0.1304,G6 IV,16.01,2,1.14,0.0,17.111,2.2,0,1,300.905853,29.896805,0
HD 190647,0.224,1.07,1.985,2.231,G5 V,54.56,1,1.38,0.0,1176.45,1.0,0,1,301.83197,-35.538631,0
HD 190984,0.57,0.91,3.1,5.5,F8 V,148.81,1,1.53,0.0,4885.0,3.4,0,1,302.877991,-64.620468,0
HD 192263,0.05,0.66,0.56,0.15,K2 V,19.65,1,0.74,0.0,24.3556,1.0,0,1,303.499359,-0.866877,0
HD 192310,0.13,0.8,0.0532,0.32,K3 V,8.8,2,0.0,0.0,74.72,3.0,0,1,303.822449,-27.032976,0
HD 192310,0.32,0.8,0.076,1.18,K3 V,8.8,2,0.0,0.0,525.8,3.0,0,1,303.822449,-27.032976,0
HD 192699,0.082,1.38,2.096,1.063,G8 IV,72.01,1,4.41,0.0,340.94,1.9,0,1,304.025024,4.580795,0
HD 195019,0.01,1.21,3.98,0.14,G3 V/IV,37.71,1,1.48,0.0,18.20132,2.47,0,1,307.077637,18.769497,0
HD 196050,0.23,1.31,3.18,2.51,G4 V,50.75,1,1.42,0.0,1378.0,3.27,0,1,309.465454,-60.634483,0
HD 196067,0.66,1.29,6.9,5.02,G1 V,39.98,1,1.73,0.0,3638.0,1.45,0,1,310.433716,-75.3508,0
HD 196885 A,0.48,1.28,2.58,2.37,F8 V,34.2,1,1.31,0.0,1333.0,7.8,0,1,309.966156,11.249649,0
HD 197037,0.22,1.11,0.79,2.07,F7 V,33.0,1,0.0,0.0,1035.7,4.0,0,1,309.887329,42.24855,0
HD 200964,0.087,1.39,1.599,1.565,G8 IV,72.74,2,4.92,0.0,606.3,2.28,0,1,316.666016,3.803119,0
HD 200964,0.243,1.39,1.214,1.96,G8 IV,72.74,2,4.92,0.0,852.5,2.28,0,1,316.666016,3.803119,0
HD 202206,0.22,1.27,17.9,2.41,G6 V,46.03,1,1.03,0.0,1260.0,2.3,0,1,318.740692,-20.789209,1
HD 203030,0.0,0.0,24.09,487.1,G8 V,39.29,1,0.0,0.0,0.0,6.0,0,0,319.742584,26.230545,0
HD 204313,0.23,1.03,3.46,3.07,G5 V,47.86,2,1.1,0.0,1920.09998,2.4,0,1,322.050873,-21.726255,0
HD 204941,0.37,0.58,0.23,2.55,K1/2 V,28.74,1,0.78,0.0,1733.0,0.0,0,1,323.097961,-20.957422,0
HD 205739,0.27,1.22,1.37,0.896,F7 V,92.74,1,1.33,0.0,279.8,4.48,0,1,324.535034,-31.737484,0
